Age,Attrition,DistanceFromHome,Education,EmployeeID,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,avg_hours_per_day,std_hours_per_day,days_absent,days_over_8h,avg_arrival_hour,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single
51,0,6,2,1,0,1,131160,1.0,11,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,7.373650622605365,0.28322436713023424,29,0,9.993031609195402,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
31,1,10,1,2,0,1,41890,0.0,23,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,7.718968926553672,0.31335090741272625,25,42,9.98072033898305,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
32,0,17,4,3,1,4,193280,1.0,15,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,7.013240358126722,0.3115511391897782,19,0,10.01659779614325,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False
38,0,2,5,4,1,3,83210,3.0,11,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,7.193678486997635,0.28413283284487745,26,0,9.97382978723404,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
32,0,10,1,5,1,1,23420,4.0,12,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,8.006174603174603,0.3006564200435072,16,115,9.990068027210883,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
46,0,8,3,6,0,4,40710,3.0,13,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,10.796095874355368,0.3062780195272167,24,237,9.980450070323489,False,True,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
28,1,11,2,7,1,2,58130,2.0,20,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,6.923570402298851,0.3246115897328066,29,1,9.95625,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
29,0,18,3,8,1,2,31430,2.0,22,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,6.725620713305898,0.27854805942660005,18,0,9.994101508916323,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
31,0,1,3,9,1,3,20440,0.0,21,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,7.236498792270532,0.3106995251062113,31,1,10.013840579710145,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
25,0,7,4,10,0,4,134640,1.0,13,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,7.080087844254511,0.2904905463580699,27,0,9.956837606837608,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
